=== Umbra Scalability Log for borrow on borrow (1 CPUs) ===
INFO:    [s] execution: (0.010202 min, 0.010202 max, 0.010202 median, 0.0% relMAD, 0.010202 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000387 min, 0.000387 max, 0.000387 median, 0.0% relMAD, 0.000387 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010237 min, 0.010237 max, 0.010237 median, 0.0% relMAD, 0.010237 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000373 min, 0.000373 max, 0.000373 median, 0.0% relMAD, 0.000373 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010151 min, 0.010151 max, 0.010151 median, 0.0% relMAD, 0.010151 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000530 min, 0.000530 max, 0.000530 median, 0.0% relMAD, 0.000530 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010272 min, 0.010272 max, 0.010272 median, 0.0% relMAD, 0.010272 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000389 min, 0.000389 max, 0.000389 median, 0.0% relMAD, 0.000389 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010194 min, 0.010194 max, 0.010194 median, 0.0% relMAD, 0.010194 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000535 min, 0.000535 max, 0.000535 median, 0.0% relMAD, 0.000535 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010111 min, 0.010111 max, 0.010111 median, 0.0% relMAD, 0.010111 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000543 min, 0.000543 max, 0.000543 median, 0.0% relMAD, 0.000543 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010060 min, 0.010060 max, 0.010060 median, 0.0% relMAD, 0.010060 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000619 min, 0.000619 max, 0.000619 median, 0.0% relMAD, 0.000619 avg, 0.000000 sdev)
INFO:    [s] execution: (0.009889 min, 0.009889 max, 0.009889 median, 0.0% relMAD, 0.009889 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000792 min, 0.000792 max, 0.000792 median, 0.0% relMAD, 0.000792 avg, 0.000000 sdev)
INFO:    [s] execution: (0.009831 min, 0.009831 max, 0.009831 median, 0.0% relMAD, 0.009831 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000900 min, 0.000900 max, 0.000900 median, 0.0% relMAD, 0.000900 avg, 0.000000 sdev)
INFO:    [s] execution: (0.009746 min, 0.009746 max, 0.009746 median, 0.0% relMAD, 0.009746 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.001021 min, 0.001021 max, 0.001021 median, 0.0% relMAD, 0.001021 avg, 0.000000 sdev)
INFO:    [s] execution: (0.009556 min, 0.009556 max, 0.009556 median, 0.0% relMAD, 0.009556 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.001110 min, 0.001110 max, 0.001110 median, 0.0% relMAD, 0.001110 avg, 0.000000 sdev)
INFO:    [s] execution: (0.009573 min, 0.009573 max, 0.009573 median, 0.0% relMAD, 0.009573 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.001088 min, 0.001088 max, 0.001088 median, 0.0% relMAD, 0.001088 avg, 0.000000 sdev)
INFO:    [s] execution: (0.009686 min, 0.009686 max, 0.009686 median, 0.0% relMAD, 0.009686 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.001129 min, 0.001129 max, 0.001129 median, 0.0% relMAD, 0.001129 avg, 0.000000 sdev)
subset_count origin_contains_loan_on_entry_count path_maybe_uninitialized_on_exit_count var_drop_live_on_entry_count path_maybe_initialized_on_exit_count var_live_on_entry_count path_accessed_at_count path_moved_at_count path_assigned_at_count path_begins_with_var_count ancestor_path_count origin_live_on_entry_count
5068815 210300 291552229 3588 1048567 329734 7838 16295 6793 6372 30 1033354
INFO:    [s] execution: (298.366791 min, 298.366791 max, 298.366791 median, 0.0% relMAD, 298.366791 avg, 0.000000 sdev, 2262328 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.017523 min, 0.017523 max, 0.017523 median, 0.0% relMAD, 0.017523 avg, 0.000000 sdev)
