Time,CPU Percent,MEM Usage,IO Reads,_NProc
12.99,100.0,1067749376,844234400,1
13.21,104.6,1085997056,858845360,1
13.43,94.1,1104379904,873587360,1
13.65,100.0,1122627584,888132800,1
13.87,104.4,1140199424,902219600,1
14.09,95.2,1158447104,916896080,1
14.31,103.3,1176965120,931703600,1
14.53,99.8,1195212800,946314560,1
14.75,99.9,1213325312,960925520,1
14.97,99.9,1231572992,975470960,1
15.19,99.9,1249009664,989557760,1
15.41,95.6,1267257344,1004103200,1
15.63,103.9,1285505024,1018714160,1
15.85,99.9,1303617536,1033325120,1
16.07,98.5,1322135552,1048067120,1
16.3,104.5,1339572224,1062088400,1
16.52,100.0,1357684736,1076633840,1
16.74,95.4,1375932416,1091244800,1
16.96,100.1,1394180096,1105855760,1
17.18,99.4,1412562944,1120597760,1
17.4,104.3,1429999616,1134619040,1
17.62,99.3,1448247296,1149230000,1
17.84,98.8,1466630144,1163972000,1
18.06,99.9,1484877824,1178517440,1
18.28,95.4,1502990336,1193062880,1
18.5,107.6,1521373184,1207870400,1
18.73,99.6,1538945024,1221826160,1
18.95,99.9,1557057536,1236437120,1
19.17,95.5,1575170048,1250982560,1
19.39,104.6,1593417728,1265528000,1
19.61,95.5,1611395072,1280007920,1
19.83,104.5,1629507584,1294487840,1
20.05,95.6,1646673920,1308247040,1
20.47,102.0,1681141760,1335896480,1
20.89,99.9,1715609600,1363480400,1
21.31,99.1,1749401600,1390540160,1
21.73,99.7,1783869440,1418189600,1
22.15,99.8,1818202112,1445773520,1
22.58,99.9,1851723776,1472636720,1
23.0,97.5,1886191616,1500220640,1
23.42,101.5,1920929792,1528001120,1
23.84,102.3,1954316288,1554864320,1
24.26,97.5,1988784128,1582448240,1
24.68,99.2,2023387136,1610163200,1
25.1,102.1,2056908800,1637091920,1
25.53,99.9,2091106304,1664741360,1
25.95,99.9,2123005952,1691866640,1
26.37,99.2,2154094592,1718402240,1
26.79,102.2,2185994240,1745527520,1
27.21,97.4,2217893888,1772718320,1
27.63,99.7,2249523200,1799647040,1
28.05,101.7,2281017344,1826444720,1
28.48,99.3,2313187328,1853832080,1
28.9,102.1,2345086976,1881022880,1
29.32,97.2,2376986624,1908148160,1
29.74,99.9,2408886272,1935338960,1
30.16,102.1,2439839744,1961743520,1
30.58,97.4,2471739392,1988934320,1
31.0,101.6,2503909376,2016256160,1
31.43,99.2,2535944192,2043578000,1
31.85,102.3,2567843840,2070768800,1
32.27,97.5,2599743488,2097959600,1
32.69,101.8,2630832128,2124364160,1
33.11,97.4,2662731776,2151554960,1
33.54,104.0,2694631424,2178745760,1
33.96,97.2,2726531072,2205871040,1
34.38,99.9,2756132864,2231096240,1
34.8,99.2,2788302848,2258483600,1
35.22,101.6,2819391488,2284953680,1
35.65,99.7,2851291136,2312144480,1
36.07,99.3,2883325952,2339466320,1
36.49,102.2,2915090432,2366460560,1
36.91,99.6,2946990080,2393651360,1
37.33,99.8,2977943552,2420055920,1
37.75,99.8,3009978368,2447312240,1
38.17,99.6,3042013184,2474503040,1
38.6,99.3,3074048000,2501824880,1
39.02,99.8,3105542144,2528688080,1
39.44,99.9,3137441792,2555878880,1
39.86,102.2,3168395264,2582152400,1
40.28,99.7,3200430080,2609474240,1
41.1,99.5,3262607360,2662479920,1
41.93,99.5,3324784640,2715354560,1
42.75,101.0,3386150912,2767574000,1
43.57,99.5,3447787520,2820186560,1
44.4,99.8,3509288960,2872471520,1
45.22,99.6,3570655232,2924756480,1
46.04,100.7,3631210496,2976386240,1
46.87,99.7,3692847104,3028867760,1
47.69,99.7,3753943040,3080825120,1
48.51,100.6,3814498304,3132454880,1
49.34,100.7,3876134912,3184870880,1
50.16,98.6,3937095680,3236828240,1
50.98,100.9,3997515776,3288261440,1
51.8,99.5,4059017216,3340677440,1
52.63,99.5,4119977984,3392634800,1
53.45,99.5,4180398080,3444068000,1
54.28,100.9,4241764352,3496287440,1
55.1,99.8,4302319616,3547851680,1
55.92,100.8,4362874880,3599415920,1
56.74,98.3,4424241152,3651635360,1
57.57,101.0,4484661248,3703199600,1
58.39,100.7,4546027520,3755484560,1
59.22,99.5,4607528960,3807835040,1
60.04,99.7,4667813888,3859137200,1
60.86,99.8,4728909824,3911160080,1
61.68,100.7,4789735424,3962920880,1
62.51,100.7,4850966528,4015140320,1
63.33,98.2,4911521792,4066639040,1
64.16,100.8,4972752896,4118792960,1
64.98,99.7,5033443328,4170488240,1
65.8,100.7,5094674432,4222642160,1
66.63,99.5,5155905536,4274861600,1
67.45,100.9,5216325632,4326229280,1
68.27,99.7,5277151232,4377990080,1
69.1,99.4,5338247168,4430144000,1
69.92,101.0,5399207936,4482035840,1
70.74,99.6,5459492864,4533338000,1
71.57,99.5,5520994304,4585754000,1
72.39,99.5,5581684736,4637449280,1
73.21,99.5,5642780672,4689406640,1
74.04,100.8,5703200768,4740905360,1
74.86,101.0,5764431872,4793059280,1
75.68,98.5,5825122304,4844689040,1
76.51,100.7,5886488576,4896974000,1
77.33,99.8,5947314176,4948865840,1
78.15,100.9,6007734272,5000233520,1
78.97,99.6,6068965376,5052452960,1
79.8,99.5,6129790976,5104148240,1
80.62,99.7,6190751744,5156040080,1
81.64,100.6,6266040320,5220184160,1
82.67,99.6,6342275072,5285180000,1
83.69,100.4,6418239488,5349848240,1
84.72,99.8,6493798400,5414188880,1
85.74,100.6,6569086976,5478332960,1
86.76,99.6,6645051392,5542935680,1
87.79,99.7,6720610304,5607407360,1
88.81,100.5,6796709888,5672075600,1
89.84,99.4,6872403968,5736678320,1
90.86,99.7,6948909056,5801739680,1
91.89,99.6,7024738304,5866342400,1
92.91,101.3,7095431168,5926555280,1
93.94,99.6,7171801088,5991616640,1
94.96,99.7,7247224832,6055826240,1
95.98,99.8,7323865088,6121018640,1
97.01,100.6,7399694336,6185621360,1
98.03,99.6,7475523584,6250224080,1
99.05,99.6,7551893504,6315219920,1
100.08,100.5,7627182080,6379429520,1
101.1,100.5,7702876160,6443835680,1
102.13,99.7,7778705408,6508438400,1
103.15,99.8,7854804992,6573237680,1
104.17,100.6,7930769408,6637905920,1
105.2,99.7,8006193152,6702181040,1
106.22,99.6,8081887232,6766587200,1
107.25,100.5,8157581312,6831124400,1
108.27,98.9,8233545728,6895727120,1
109.29,100.6,8308834304,6959871200,1
110.32,100.6,8385069056,7024801520,1
111.34,99.5,8460898304,7089404240,1
112.37,99.7,8536457216,7153744880,1
113.39,100.5,8612286464,7218282080,1
114.41,99.6,8687845376,7282688240,1
115.44,99.7,8763944960,7347487520,1
116.46,101.4,8839639040,7412024720,1
117.49,99.6,8915603456,7476627440,1
118.51,99.6,8991432704,7541164640,1
119.53,99.6,9067261952,7605832880,1
120.56,100.5,9142820864,7670173520,1
121.58,99.5,9218514944,7734645200,1
122.61,100.6,9294749696,7799575520,1
123.63,99.5,9370849280,7864309280,1
124.66,100.6,9446543360,7928780960,1
125.68,98.7,9522507776,7993514720,1
126.7,100.5,9598066688,8057855360,1
127.73,100.6,9673760768,8122261520,1
128.75,100.5,9749590016,8186864240,1
129.78,98.8,9825824768,8251860080,1
130.8,100.6,9901654016,8316331760,1
131.83,99.5,9977618432,8381131040,1
132.85,99.7,10053042176,8445340640,1
133.87,100.6,10128736256,8509746800,1
134.9,100.5,10204430336,8574284000,1
135.92,99.7,10280529920,8639017760,1
136.94,99.6,10356494336,8703751520,1
137.97,100.5,10432729088,8768616320,1
138.99,99.6,10509234176,8833808720,1
140.02,99.8,10584522752,8897887280,1
141.04,100.4,10660352000,8962490000,1
142.07,99.8,10736316416,9027158240,1
143.09,99.7,10812145664,9091760960,1
144.11,100.6,10887974912,9156429200,1
145.14,100.5,10964344832,9221359520,1
146.16,99.6,11040038912,9285831200,1
147.18,99.7,11115868160,9350499440,1
148.21,99.5,11191427072,9414774560,1
149.23,99.6,11266850816,9479049680,1
150.26,100.6,11342409728,9543324800,1
151.28,99.5,11418103808,9607862000,1
152.31,100.5,11493797888,9672268160,1
153.33,100.4,11569897472,9737067440,1
154.36,99.7,11645050880,9801146000,1
155.38,99.6,11721150464,9865879760,1
156.4,100.5,11796574208,9930154880,1
157.43,99.7,11872268288,9994561040,1
158.45,99.6,11947827200,10058967200,1
159.48,100.7,12023386112,10123242320,1
160.5,100.7,12099215360,10187845040,1
161.52,98.6,12174368768,10251858080,1
162.55,100.5,12250333184,10316591840,1
163.57,99.6,12326027264,10380998000,1
164.6,100.6,12401451008,10445207600,1
165.62,99.6,12476874752,10509548240,1
166.64,100.5,12552704000,10574085440,1
167.67,99.7,12628262912,10638426080,1
168.69,99.5,12703281152,10702373600,1
169.72,100.7,12778840064,10766714240,1
170.74,99.7,12854804480,10831382480,1
171.76,99.5,12930363392,10895723120,1
172.79,100.6,13006192640,10960260320,1
173.81,99.6,13081751552,11024600960,1
174.84,100.8,13157175296,11088876080,1
175.86,99.6,13233274880,11153675360,1
176.88,99.5,13308428288,11217622880,1
177.91,99.7,13383716864,11281832480,1
178.93,100.5,13459951616,11346697280,1
179.95,100.7,13535375360,11410972400,1
180.98,99.7,13610934272,11475247520,1
182.0,99.6,13686898688,11539981280,1
183.02,99.6,13762863104,11604649520,1
184.05,100.5,13839097856,11669579840,1
185.07,100.8,13914386432,11733789440,1
186.09,99.6,13990215680,11798261120,1
187.12,99.7,14066315264,11863125920,1
188.14,99.8,14142279680,11927728640,1
189.16,100.5,14218108928,11992331360,1
190.19,99.7,14293667840,12056672000,1
191.21,99.6,14369497088,12121274720,1
192.24,100.6,14445056000,12185680880,1
193.26,99.6,14520074240,12249562880,1
194.28,100.6,14595497984,12313838000,1
195.31,99.7,14671462400,12378375200,1
196.33,99.6,14746750976,12442584800,1
197.36,99.8,14822309888,12506859920,1
198.38,100.4,14897868800,12571266080,1
199.4,100.6,14973292544,12635541200,1
200.43,98.8,15048851456,12699881840,1
201.45,100.5,15123869696,12763698320,1
202.47,99.8,15199563776,12828235520,1
203.5,100.5,15274987520,12892510640,1
204.52,99.7,15350411264,12956589200,1
205.54,99.7,15425699840,13020798800,1
206.57,100.6,15501393920,13085270480,1
207.59,99.7,15576817664,13149480080,1
208.61,99.5,15652376576,13213886240,1
209.64,100.5,15728340992,13278488960,1
210.66,99.7,15803359232,13342370960,1
211.69,100.6,15879188480,13407039200,1
212.71,99.8,15954612224,13471183280,1
213.73,99.5,16030035968,13535523920,1
214.76,99.7,16105459712,13599733520,1
215.78,99.8,16181018624,13664074160,1
216.8,100.5,16256712704,13728480320,1
217.83,100.7,16332136448,13792755440,1
218.85,99.6,16408236032,13857554720,1
219.87,99.6,16483930112,13922026400,1
220.9,99.6,16558948352,13985908400,1
221.92,100.6,16634507264,14050249040,1
222.95,99.7,16709931008,14114458640,1
223.97,99.6,16785354752,14178733760,1
224.99,99.8,16860913664,14243074400,1
226.02,100.6,16936607744,14307480560,1
227.04,100.6,17012436992,14372083280,1
228.06,99.8,17088131072,14436554960,1
229.09,100.6,17164095488,14501288720,1
230.11,98.7,17239384064,14565432800,1
231.13,100.5,17315213312,14629904480,1
232.16,99.7,17390907392,14694441680,1
233.18,99.7,17466601472,14758913360,1
234.2,100.6,17542971392,14823909200,1
235.23,100.7,17618800640,14888446400,1
236.25,99.6,17694224384,14952787040,1
237.28,99.6,17770053632,15017324240,1
238.3,99.7,17845612544,15081599360,1
239.32,99.6,17921171456,15146005520,1
240.35,100.6,17996189696,15209887520,1
241.37,100.5,18071478272,15274031600,1
242.4,99.7,18147172352,15338437760,1
243.42,99.5,18222596096,15402712880,1
244.44,99.6,18298019840,15466856960,1
245.47,100.7,18372227072,15530149280,1
246.49,99.5,18446434304,15593310560,1
247.52,100.5,18520506368,15656340800,1
248.54,99.6,18594443264,15719371040,1
249.57,100.6,18668650496,15782597840,1
250.59,99.7,18742181888,15845169440,1
251.61,99.5,18816524288,15908527280,1
252.64,100.7,18890326016,15971360960,1
253.66,99.5,18964398080,16034456720,1
254.68,99.5,19038334976,16097421440,1
255.71,100.7,19112271872,16160386160,1
256.73,99.5,19186479104,16223612960,1
257.76,100.6,19260551168,16286643200,1
258.78,99.6,19334623232,16349738960,1
259.81,99.7,19408695296,16412834720,1
260.83,100.7,19483037696,16476127040,1
261.85,100.6,19557515264,16539484880,1
262.87,99.8,19631046656,16602122000,1
263.9,99.6,19704848384,16664955680,1
264.92,100.6,19778650112,16727789360,1
265.95,98.8,19852587008,16790885120,1
266.97,100.6,19926523904,16853784320,1
267.99,99.5,20001001472,16917142160,1
269.02,100.6,20075208704,16980368960,1
270.04,99.7,20149010432,17043333680,1
271.06,99.5,20223082496,17106363920,1
272.09,100.6,20297289728,17169590720,1
273.11,99.7,20371496960,17232817520,1
274.14,100.6,20445163520,17295454640,1
275.16,99.5,20519505920,17358746960,1
276.18,99.5,20593983488,17422170320,1
277.21,100.7,20668731392,17485855760,1
278.23,99.5,20743344128,17549475680,1
279.26,100.6,20817281024,17615061200,1
280.28,99.7,20890812416,17681432960,1
281.3,100.5,20964884480,17748197840,1
282.33,99.6,21038551040,17814569600,1
283.35,99.6,21112217600,17881072400,1
284.38,99.8,21185478656,17947051040,1
285.4,100.6,21257523200,18012046880,1
286.42,100.5,21330513920,18077894480,1
287.45,98.7,21403234304,18143480000,1
288.47,100.6,21476630528,18209589680,1
289.49,100.7,21549891584,18275699360,1
290.52,99.7,21623287808,18341809040,1
291.54,99.6,21696684032,18408115280,1
292.56,100.5,21770080256,18474290480,1
293.59,99.6,21843341312,18540334640,1
294.61,4521.5,22494834688,18559943785,1
295.64,3371.8,22636740608,18559943785,1
296.68,6397.7,22643339264,18559943785,1
297.71,5890.5,22643875840,18559943785,1
298.74,4992.0,22671400960,18559943785,1
299.77,6236.0,22671400960,18559943785,1
300.8,5835.0,22674374656,18559943786,1
301.83,4744.8,22674714624,18559943786,1
302.86,99.3,22674714624,18559943786,1
303.88,99.8,22674714624,18559943786,1
